procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31479004   5504 6110176    0    0     0     1    1    0  0  0 100  0  0 2025-08-25 13:13:11
 0  0      0 31478756   5504 6110176    0    0     0     0  893 1375  0  0 100  0  0 2025-08-25 13:13:12
 0  0      0 31478756   5504 6110180    0    0     0     0  831 1336  0  0 100  0  0 2025-08-25 13:13:13
 0  0      0 31478756   5504 6110180    0    0     0     0  808 1291  0  0 100  0  0 2025-08-25 13:13:14
 0  0      0 31478756   5504 6110180    0    0     0     0  792 1298  0  0 100  0  0 2025-08-25 13:13:15
 0  0      0 31478756   5504 6110180    0    0     0    52  951 1389  0  0 100  0  0 2025-08-25 13:13:16
 0  0      0 31476740   5504 6110180    0    0     0     4 1004 1425  0  0 100  0  0 2025-08-25 13:13:17
 0  0      0 31476740   5504 6110180    0    0     0     0  847 1313  0  0 100  0  0 2025-08-25 13:13:18
 0  0      0 31476740   5504 6110180    0    0     0     0  783 1295  0  0 100  0  0 2025-08-25 13:13:19
 0  0      0 31476740   5504 6110180    0    0     0     0  835 1352  0  0 100  0  0 2025-08-25 13:13:20
 0  0      0 31476740   5504 6110180    0    0     0     0  826 1331  0  0 100  0  0 2025-08-25 13:13:21
 0  0      0 31476740   5504 6110180    0    0     0    52  870 1375  0  0 100  0  0 2025-08-25 13:13:22
 1  0      0 31476740   5504 6110180    0    0     0     4  852 1331  0  0 100  0  0 2025-08-25 13:13:23
 0  0      0 31476740   5504 6110180    0    0     0     0 3987 4294  0  0 100  0  0 2025-08-25 13:13:24
 0  0      0 31476740   5504 6110180    0    0     0     0  870 1334  0  0 100  0  0 2025-08-25 13:13:25
 0  0      0 31476740   5504 6110180    0    0     0     0  803 1294  0  0 100  0  0 2025-08-25 13:13:26
 0  0      0 31476740   5504 6110180    0    0     0    56  874 1355  0  0 100  0  0 2025-08-25 13:13:27
 0  0      0 31476740   5504 6110180    0    0     0     0  811 1346  0  0 100  0  0 2025-08-25 13:13:28
 0  0      0 31476740   5504 6110180    0    0     0     4  854 1342  0  0 100  0  0 2025-08-25 13:13:29
 0  0      0 31476740   5504 6110180    0    0     0     0  812 1315  0  0 100  0  0 2025-08-25 13:13:30
 0  0      0 31476740   5504 6110180    0    0     0     0  806 1304  0  0 100  0  0 2025-08-25 13:13:31
 0  0      0 31476740   5504 6110180    0    0     0    48  891 1386  0  0 100  0  0 2025-08-25 13:13:32
